time_utc,chat_id,action,direction,symbol_ok,entry_low,entry_high,sl,tps,smc_used,smc_pass,smc_reason,sanity_pass,sanity_reason,accepted,order_type,order_price,lots,dry_run,order_ticket,retcode,raw_text
"2026.09.15 06:23:00","-1001234567890","OPEN","SELL","1","4322.04","4323.89","4328.71","4315.04|4308.04","1","0","BUY entry 4361.50 sits in the premium half of 4330.00-4365.00 (equilibrium 4347.50) - not a discount entry","1","","0","","0.0","0","0","","","XAUUSD SELL 4323.89-4322.04 TP1: 4315.04 TP2: 4308.04 StopLoss: 4328.71"
"2026.09.15 06:54:00","-1001234567890","OPEN","SELL","1","4302.86","4304.59","4310.45","4295.86|4288.86","1","0","BUY entry 4361.50 sits in the premium half of 4330.00-4365.00 (equilibrium 4347.50) - not a discount entry","1","","0","","0.0","0","0","","","XAUUSD SELL 4304.59-4302.86 TP1: 4295.86 TP2: 4288.86 StopLoss: 4310.45"
"2026.09.15 07:39:00","-1001234567890","OPEN","SELL","1","4319.84","4322.81","4333.29","4312.84|4305.84","1","1","bearish sweep confirmed","1","","1","LIMIT","4319.84","0.05","0","88010003","10009","XAUUSD SELL 4322.81-4319.84 TP1: 4312.84 TP2: 4305.84 StopLoss: 4333.29"
"2026.09.15 08:42:00","-1001234567890","OPEN","SELL","1","4313.99","4317.88","4324.57","4306.99|4299.99","1","1","bearish sweep confirmed","1","","1","LIMIT","4313.99","0.05","0","88010004","10009","XAUUSD SELL 4317.88-4313.99 TP1: 4306.99 TP2: 4299.99 StopLoss: 4324.57"
"2026.09.15 09:47:00","-1001234567890","OPEN","SELL","1","4354.34","4357.86","4367.7","4347.34|4340.34","1","1","bearish sweep confirmed","1","","1","MARKET","4354.34","0.05","0","88010005","10009","XAUUSD SELL 4357.86-4354.34 TP1: 4347.34 TP2: 4340.34 StopLoss: 4367.7"
"2026.09.15 10:17:00","-1001234567890","OPEN","SELL","1","4374.65","4377.7","4388.59","4367.65|4360.65","1","1","not required","0","SL distance 4.5 pips is below the minimum 10","0","","0.0","0","0","","","XAUUSD SELL 4377.7-4374.65 TP1: 4367.65 TP2: 4360.65 StopLoss: 4388.59"
"2026.09.15 10:42:00","-1001234567890","OPEN","BUY","1","4369.58","4373.54","4358.74","4380.54|4387.54","1","1","not required","0","SL 4360.00 is not above the sell zone 4360.00-4363.00","0","","0.0","0","0","","","XAUUSD BUY 4373.54-4369.58 TP1: 4380.54 TP2: 4387.54 StopLoss: 4358.74"
"2026.09.15 11:37:00","-1001234567890","OPEN","SELL","1","4357.21","4359.62","4366.58","4350.21|4343.21","1","1","bearish sweep confirmed","1","","1","MARKET","4357.21","0.05","0","88010008","10009","XAUUSD SELL 4359.62-4357.21 TP1: 4350.21 TP2: 4343.21 StopLoss: 4366.58"
"2026.09.15 13:26:00","-1001234567890","OPEN","BUY","1","4354.82","4356.75","4344.99","4363.75|4370.75","1","1","bullish sweep confirmed","1","","1","MARKET","4356.75","0.05","0","88010009","10009","XAUUSD BUY 4356.75-4354.82 TP1: 4363.75 TP2: 4370.75 StopLoss: 4344.99"
"2026.09.15 15:44:00","-1001234567890","OPEN","BUY","1","4361.62","4365.23","4351.41","4372.23|4379.23","1","1","bullish sweep confirmed","1","","1","LIMIT","4365.23","0.05","0","88010010","10009","XAUUSD BUY 4365.23-4361.62 TP1: 4372.23 TP2: 4379.23 StopLoss: 4351.41"
"2026.09.15 17:47:00","-1001234567890","OPEN","SELL","1","4336.1","4337.77","4349.08","4329.1|4322.1","1","1","not required","0","current price 4360.10 is 210.4 pips from the signaled zone 4339.00-4342.00 (max 200.0)","0","","0.0","0","0","","","XAUUSD SELL 4337.77-4336.1 TP1: 4329.1 TP2: 4322.1 StopLoss: 4349.08"
